order_id,menu_id
1,12
2,10
2,10
2,11
3,12
3,10
3,8
4,18
5,8
5,3
6,14
7,7
7,2
8,7
9,15
10,6
10,2
10,18
11,5
12,7
13,9
13,11
14,10
14,3
15,5
16,16
17,7
18,1
19,7
19,16
20,14
21,15
22,6
22,15
23,4
24,20
25,6
25,10
25,3
26,13
27,6
28,3
29,16
30,19
31,17
32,16
33,4
34,9
34,2
35,13
36,17
36,19
37,2
38,15
39,20
40,6
41,17
42,1
43,14
44,20
45,2
46,8
46,2
47,11
48,2
49,3
50,11
51,8
51,15
52,12
53,6
54,17
55,3
55,15
56,4
57,9
58,16
59,13
59,9
60,18
60,5
61,15
62,2
63,19
64,18
65,15
65,9
66,19
66,4
66,19
67,18
68,6
69,10
69,13
69,15
70,15
71,10
71,6
72,15
73,2
74,17
75,4
76,1
76,4
76,17
77,13
78,5
79,4
80,5
81,20
81,13
82,15
83,13
83,3
84,17
85,1
85,17
86,19
87,13
88,19
89,5
90,5
91,12
92,2
92,2
93,9
94,15
95,6
96,5
97,10
97,2
98,15
99,6
100,13
101,9
101,19
102,11
103,12
104,11
104,4
105,20
106,10
106,17
107,7
108,7
109,2
110,15
111,18
112,9
113,7
114,2
115,6
116,15
116,20
117,5
118,16
119,1
120,6
121,20
122,18
123,17
123,19
123,11
124,19
124,14
125,14
125,7
126,10
127,2
128,11
129,6
129,7
130,1
131,10
132,15
133,3
134,6
134,20
134,4
135,9
135,2
136,5
137,10
138,4
139,18
140,13
141,7
142,9
143,19
144,10
145,2
146,15
147,6
148,18
149,7
149,11
149,10
150,17
150,20
151,11
152,13
152,1
153,1
154,17
154,16
154,3
155,16
156,5
157,8
157,14
158,8
159,16
160,10
160,9
161,17
161,14
162,1
163,16
164,6
164,5
164,2
165,14
166,19
167,6
168,20
169,13
170,4
171,8
171,17
172,10
173,16
174,7
175,19
176,1
176,20
177,3
178,13
178,16
179,3
180,17
180,3
181,8
182,4
183,12
183,5
183,7
184,4
184,17
185,10
185,15
186,1
186,10
187,18
188,17
189,13
189,7
189,7
190,3
190,11
190,5
191,2
192,15
193,14
194,17
194,14
195,3
195,10
196,4
197,6
198,20
199,12
200,19
201,8
201,8
202,13
202,12
203,5
204,13
205,13
206,5
206,19
206,8
207,20
207,1
207,6
208,10
209,11
210,4
210,6
210,11
211,3
212,17
212,4
213,14
214,1
214,8
215,2
215,13
216,7
217,16
218,18
219,9
219,10
220,8
221,4
221,2
222,17
223,1
224,18
225,2
226,10
226,17
226,9
227,16
228,5
229,19
230,2
231,5
232,12
233,4
234,14
235,15
236,11
236,14
237,8
238,7
238,1
238,17
239,14
240,15
240,19
241,17
242,10
243,5
244,17
245,7
246,15
246,6
247,10
248,17
248,11
249,15
250,3
251,15
252,5
253,11
254,15
255,17
255,16
256,10
257,20
258,3
259,18
259,13
259,11
260,18
261,3
262,11
263,18
263,9
263,9
264,12
265,6
266,4
267,3
267,6
268,4
268,3
268,8
269,19
269,2
269,4
270,18
271,3
272,20
272,10
273,2
274,17
275,8
275,12
276,18
277,11
277,18
278,8
278,6
278,13
279,13
280,10
280,10
281,17
282,8
283,6
284,10
285,14
285,3
285,4
286,6
287,18
288,2
289,19
289,3
289,5
290,15
291,12
292,1
293,11
294,6
295,20
296,8
297,15
297,2
297,4
298,5
298,19
298,3
299,17
300,17
301,2
302,20
303,16
304,6
305,16
306,7
307,13
308,3
309,7
309,10
310,4
311,14
312,13
313,8
313,8
314,2
314,3
315,1
